connect,grade,grade_band,subject,label,growth,shortage
1,Kindergarten,elementary,"All Core Subjects (ELA, Math, Science, Social Studies)",Elementary Education,0,0
2,1st Grade,elementary,"All Core Subjects (ELA, Math, Science, Social Studies)",Elementary Education,0,0
3,2nd Grade,elementary,"All Core Subjects (ELA, Math, Science, Social Studies)",Elementary Education,0,0
4,3rd Grade,elementary,"All Core Subjects (ELA, Math, Science, Social Studies)",Elementary Education,1,0
5,4th Grade,elementary,"All Core Subjects (ELA, Math, Science, Social Studies)",Elementary Education,1,0
6,5th Grade,elementary,"All Core Subjects (ELA, Math, Science, Social Studies)",Elementary Education,1,0
14,Elementary Level (multiple grade),elementary,"All Core Subjects (ELA, Math, Science, Social Studies)",Elementary Education,1,0
7,6th Grade,middle,Career & Technical Education (CTE),CTE,0,0
8,7th Grade,middle,Career & Technical Education (CTE),CTE,0,0
9,8th Grade,middle,Career & Technical Education (CTE),CTE,0,0
10,9th Grade,secondary,Career & Technical Education (CTE),CTE,0,0
11,10th Grade,secondary,Career & Technical Education (CTE),CTE,0,0
12,11th Grade,secondary,Career & Technical Education (CTE),CTE,0,0
13,12th Grade,secondary,Career & Technical Education (CTE),CTE,0,0
15,Middle Level (multiple grade),middle,Career & Technical Education (CTE),CTE,0,0
16,Secondary Level (multiple grades),secondary,Career & Technical Education (CTE),CTE,0,0
7,6th Grade,middle,Computer Science,Computer Science,0,0
8,7th Grade,middle,Computer Science,Computer Science,0,0
9,8th Grade,middle,Computer Science,Computer Science,0,0
10,9th Grade,secondary,Computer Science,Computer Science,0,0
11,10th Grade,secondary,Computer Science,Computer Science,0,0
12,11th Grade,secondary,Computer Science,Computer Science,0,0
13,12th Grade,secondary,Computer Science,Computer Science,0,0
15,Middle Level (multiple grade),middle,Computer Science,Computer Science,0,0
16,Secondary Level (multiple grades),secondary,Computer Science,Computer Science,0,0
1,Kindergarten,elementary,Counselor,Counselor,0,0
2,1st Grade,elementary,Counselor,Counselor,0,0
3,2nd Grade,elementary,Counselor,Counselor,0,0
4,3rd Grade,elementary,Counselor,Counselor,0,0
5,4th Grade,elementary,Counselor,Counselor,0,0
6,5th Grade,elementary,Counselor,Counselor,0,0
7,6th Grade,middle,Counselor,Counselor,0,0
8,7th Grade,middle,Counselor,Counselor,0,0
9,8th Grade,middle,Counselor,Counselor,0,0
10,9th Grade,secondary,Counselor,Counselor,0,0
11,10th Grade,secondary,Counselor,Counselor,0,0
12,11th Grade,secondary,Counselor,Counselor,0,0
13,12th Grade,secondary,Counselor,Counselor,0,0
14,Elementary Level (multiple grade),elementary,Counselor,Counselor,0,0
15,Middle Level (multiple grade),middle,Counselor,Counselor,0,0
16,Secondary Level (multiple grades),secondary,Counselor,Counselor,0,0
1,Kindergarten,elementary,English Language Arts,English Language Arts,0,0
2,1st Grade,elementary,English Language Arts,English Language Arts,0,0
3,2nd Grade,elementary,English Language Arts,English Language Arts,0,0
4,3rd Grade,elementary,English Language Arts,English Language Arts,1,0
5,4th Grade,elementary,English Language Arts,English Language Arts,1,0
6,5th Grade,elementary,English Language Arts,English Language Arts,1,0
7,6th Grade,middle,English Language Arts,English Language Arts,1,0
8,7th Grade,middle,English Language Arts,English Language Arts,1,0
9,8th Grade,middle,English Language Arts,English Language Arts,1,0
10,9th Grade,secondary,English Language Arts,English Language Arts,1,0
11,10th Grade,secondary,English Language Arts,English Language Arts,1,0
12,11th Grade,secondary,English Language Arts,English Language Arts,0,0
13,12th Grade,secondary,English Language Arts,English Language Arts,0,0
14,Elementary Level (multiple grade),elementary,English Language Arts,English Language Arts,1,0
15,Middle Level (multiple grade),middle,English Language Arts,English Language Arts,1,0
16,Secondary Level (multiple grades),secondary,English Language Arts,English Language Arts,1,0
1,Kindergarten,elementary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
2,1st Grade,elementary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
3,2nd Grade,elementary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
4,3rd Grade,elementary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
5,4th Grade,elementary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
6,5th Grade,elementary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
7,6th Grade,middle,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
8,7th Grade,middle,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
9,8th Grade,middle,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
10,9th Grade,secondary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
11,10th Grade,secondary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
12,11th Grade,secondary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
13,12th Grade,secondary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
14,Elementary Level (multiple grade),elementary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
15,Middle Level (multiple grade),middle,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
16,Secondary Level (multiple grades),secondary,"Fine Arts (e.g. Art, Music)",Fine Arts,0,0
7,6th Grade,middle,Foreign Language,Foreign Language,0,1
8,7th Grade,middle,Foreign Language,Foreign Language,0,1
9,8th Grade,middle,Foreign Language,Foreign Language,0,1
10,9th Grade,secondary,Foreign Language,Foreign Language,0,1
11,10th Grade,secondary,Foreign Language,Foreign Language,0,1
12,11th Grade,secondary,Foreign Language,Foreign Language,0,1
13,12th Grade,secondary,Foreign Language,Foreign Language,0,1
15,Middle Level (multiple grade),middle,Foreign Language,Foreign Language,0,1
16,Secondary Level (multiple grades),secondary,Foreign Language,Foreign Language,0,1
1,Kindergarten,elementary,Gifted and Talented,GT,0,0
2,1st Grade,elementary,Gifted and Talented,GT,0,0
3,2nd Grade,elementary,Gifted and Talented,GT,0,0
4,3rd Grade,elementary,Gifted and Talented,GT,0,0
5,4th Grade,elementary,Gifted and Talented,GT,0,0
6,5th Grade,elementary,Gifted and Talented,GT,0,0
7,6th Grade,middle,Gifted and Talented,GT,0,0
8,7th Grade,middle,Gifted and Talented,GT,0,0
9,8th Grade,middle,Gifted and Talented,GT,0,0
10,9th Grade,secondary,Gifted and Talented,GT,0,0
11,10th Grade,secondary,Gifted and Talented,GT,0,0
12,11th Grade,secondary,Gifted and Talented,GT,0,0
13,12th Grade,secondary,Gifted and Talented,GT,0,0
14,Elementary Level (multiple grade),elementary,Gifted and Talented,GT,0,0
15,Middle Level (multiple grade),middle,Gifted and Talented,GT,0,0
16,Secondary Level (multiple grades),secondary,Gifted and Talented,GT,0,0
1,Kindergarten,elementary,Library Media Specialist,Library Media Specialist,0,0
